datetext,no2_Putney,nox_Putney,no2_PutneyHS,nox_PutneyHS,no2_PutneyHSF,nox_PutneyHSF,wd,ws,temp
01/01/2016 00:00,12.8,9.8,,,102,243,243.3,1.9,2.2
01/01/2016 01:00,16.9,14.4,,,120.7,372.29999,229.4,1.6,1.3
01/01/2016 02:00,47.9,74.3,,,57.4,110.9,217.9,1.6,1.3
01/01/2016 03:00,64.6,107.4,,,55.5,88.1,196.8,1.1,1.6
01/01/2016 04:00,59.2,90.4,,,59.5,111.4,143.1,1,1
01/01/2016 05:00,54.2,73.5,,,50.9,80.4,121.4,1.4,0.3
01/01/2016 06:00,59.2,89.5,,,52.2,75.7,100.7,1.6,-0.3
01/01/2016 07:00,78.9,163.39999,,,61.5,128.2,94.6,1.9,-0.6
01/01/2016 08:00,94.3,186.2,,,62.6,131.7,102.5,2.1,-0.6
01/01/2016 09:00,74.7,115.9,,,49.3,84.6,107.2,2.5,0.7
01/01/2016 10:00,33.5,45.6,,,27,39,115.7,2.8,2.3
01/01/2016 11:00,32.1,47.1,,,18.8,24.7,120.1,3.4,4.3
01/01/2016 12:00,30.6,44.2,,,17.9,23.5,130,4.1,5.9
01/01/2016 13:00,29.6,44.2,,,22.4,31.4,137.8,4.4,6.7
01/01/2016 14:00,26,36,,,22.7,30.9,138.2,4.8,7.1
01/01/2016 15:00,30.6,43.8,,,21.3,27.7,146.3,4.7,7.8
01/01/2016 16:00,28.7,43.4,,,20.8,27.3,147.8,5.4,7.8
01/01/2016 17:00,26.6,38.6,,,15.3,18.1,139.5,5.3,7.7
01/01/2016 18:00,23.1,33.3,,,11.9,14.8,137.6,5.3,7.5
01/01/2016 19:00,21.5,29,,,14.1,16.1,140.5,5.2,7.1
01/01/2016 20:00,20.5,28.1,,,13.4,15,139,5.1,7.4
01/01/2016 21:00,20.1,29.1,,,11.1,13.7,142.9,5.7,8.6
01/01/2016 22:00,20.1,28.6,,,10.9,11.5,145.6,5.5,9
01/01/2016 23:00,17,24.3,,,9.3,10.3,153.8,5.8,9.5
02/01/2016 00:00,12.3,18,,,7.7,8.1,152.3,5.4,9.1
02/01/2016 01:00,2.7,3,,,5.8,5.9,152.7,5.8,9.6
02/01/2016 02:00,5.4,7.5,,,6.7,7.3,157.6,5.6,9.8
02/01/2016 03:00,4.3,5.6,,,7.8,9.2,157.9,5.2,9.4
02/01/2016 04:00,6,9.5,,,8.9,10,157.9,5.8,9.4
02/01/2016 05:00,8.1,14.4,,,6.8,8.7,154.4,6.2,9.5
02/01/2016 06:00,16.4,29.5,,,11.9,16.4,157.8,6.2,9.5
02/01/2016 07:00,19.9,31,,,14.7,22,163.9,6.7,9.8
02/01/2016 08:00,31.7,50.4,,,18.8,30.8,164.2,5.9,9.9
02/01/2016 09:00,38.6,65.5,,,24.3,36.8,154.8,5.6,10.1
02/01/2016 10:00,36.5,60.7,,,24.1,37.4,150.6,5.4,10
02/01/2016 11:00,43.2,70,,,24.9,43.1,147.2,5.2,9.9
02/01/2016 12:00,47.8,77.3,,,23.1,35.2,124.3,4.9,9.5
02/01/2016 13:00,45.2,72.5,,,20.7,32.6,112.7,4.7,9.3
02/01/2016 14:00,57.2,94.9,,,28.8,46,109.1,1.9,9.6
02/01/2016 15:00,69.8,119.2,,,49.9,82.7,298.7,2.1,9.4
02/01/2016 16:00,63.3,112.9,,,153.8,364.20001,281.5,3.6,9.2
02/01/2016 17:00,64.3,126.6,,,157.39999,406.29999,272.1,3.7,7.8
02/01/2016 18:00,38,58.2,,,134.5,317.89999,265.9,4,7.3
02/01/2016 19:00,17.8,20.9,,,86,193.7,268.2,4,8.3
02/01/2016 20:00,17.4,21.9,,,80.5,198.5,268,3.3,8.4
02/01/2016 21:00,13.8,15.6,,,62.7,143.60001,271.1,3.4,8.8
02/01/2016 22:00,12.3,14.2,,,67.6,160.89999,275.1,6.7,9.5
02/01/2016 23:00,11.9,17.2,,,52,121.7,269,6.4,9.5
03/01/2016 00:00,5.3,7.5,,,54.4,112,260.9,6.4,8.9
03/01/2016 01:00,2,4.3,,,39.8,77.1,260.8,6.1,8.4
03/01/2016 02:00,-0.7,0.3,,,26.1,51.6,255.2,5.3,7.5
03/01/2016 03:00,0.8,2.3,,,21.5,40.1,246.1,4.4,6.1
03/01/2016 04:00,12.9,15.4,,,51.2,91.2,234.1,3.4,5.5
03/01/2016 05:00,27.6,43.6,,,65.5,131.2,189.4,2.1,4.4
03/01/2016 06:00,39.5,52.4,,,36.2,56.8,153.6,2.6,4.7
