datetext,no2_PutneyBackround,nox_PutneyBackround,no2_PutneyHihStreet,nox_PutneyHiStreet,no2_PutneyHighStreetFacade,nox_PutneyHighStreetFacade
01/01/2010 00:00,,,85.9,165.2,,
01/01/2010 01:00,,,89.2,186.3,,
01/01/2010 02:00,,,101,206.39999,,
01/01/2010 03:00,,,85.1,180.89999,,
01/01/2010 04:00,,,75.8,160.10001,,
01/01/2010 05:00,,,59.4,117.5,,
01/01/2010 06:00,,,65.2,121.6,,
01/01/2010 07:00,,,61.1,107.5,,
01/01/2010 08:00,,,63.9,119.1,,
01/01/2010 09:00,,,74.9,155.3,,
01/01/2010 10:00,,,108.2,213.5,,
01/01/2010 11:00,,,142.39999,342.29999,,
01/01/2010 12:00,,,175.2,398.10001,,
01/01/2010 13:00,,,186.39999,395,,
01/01/2010 14:00,,,159.7,375.89999,,
01/01/2010 15:00,,,158.7,373.70001,,
01/01/2010 16:00,,,216.5,620.5,,
01/01/2010 17:00,,,177.2,490.20001,,
01/01/2010 18:00,,,210.8,586.90002,,
01/01/2010 19:00,,,192.2,554.59998,,
01/01/2010 20:00,,,160.60001,436.70001,,
01/01/2010 21:00,,,133.39999,340.5,,
01/01/2010 22:00,,,116.1,303.20001,,
01/01/2010 23:00,,,100.9,263.39999,,
02/01/2010 00:00,,,117.9,269.10001,,
02/01/2010 01:00,,,88.7,188.10001,,
02/01/2010 02:00,,,78.2,146.3,,
02/01/2010 03:00,,,52.7,102.4,,
02/01/2010 04:00,,,72.6,159,,
02/01/2010 05:00,,,107.3,241.60001,,
02/01/2010 06:00,,,129.8,329.79999,,
02/01/2010 07:00,,,152.60001,402.10001,,
02/01/2010 08:00,,,199.89999,570,,
02/01/2010 09:00,,,229.10001,745.29999,,
02/01/2010 10:00,,,295.29999,804.20001,,
02/01/2010 11:00,,,315.29999,812.90002,,
02/01/2010 12:00,,,334.70001,902.70001,,
02/01/2010 13:00,,,318.79999,822,,
02/01/2010 14:00,,,374.79999,1011.59998,,
02/01/2010 15:00,,,367.79999,941.79999,,
02/01/2010 16:00,,,374.29999,997.09998,,
02/01/2010 17:00,,,291.20001,843.70001,,
02/01/2010 18:00,,,293.89999,871.20001,,
02/01/2010 19:00,,,253,653.40002,,
02/01/2010 20:00,,,209.2,570.09998,,
02/01/2010 21:00,,,181.7,470.5,,
02/01/2010 22:00,,,148,344.20001,,
02/01/2010 23:00,,,171.89999,427.70001,,
03/01/2010 00:00,,,118.2,312.79999,,
03/01/2010 01:00,,,96.4,205.7,,
03/01/2010 02:00,,,67.4,154.3,,
03/01/2010 03:00,,,51.3,102.6,,
03/01/2010 04:00,,,40.2,69.3,,
03/01/2010 05:00,,,62.1,114.2,,
03/01/2010 06:00,,,65,117.4,,
03/01/2010 07:00,,,89.2,203.5,,
03/01/2010 08:00,,,88.1,202.39999,,
03/01/2010 09:00,,,82.8,186.8,,
03/01/2010 10:00,,,86.8,207.7,,
03/01/2010 11:00,,,72.4,156.8,,
03/01/2010 12:00,,,66.2,152.10001,,
03/01/2010 13:00,,,55.9,124.7,,
03/01/2010 14:00,,,85,197.39999,,
03/01/2010 15:00,,,112,236.89999,,
03/01/2010 16:00,,,85.9,221.89999,,
03/01/2010 17:00,,,93.5,208.39999,,
03/01/2010 18:00,,,207.5,532.29999,,
03/01/2010 19:00,,,182.3,494.20001,,
03/01/2010 20:00,,,137.7,387.60001,,
03/01/2010 21:00,,,128,369.60001,,
03/01/2010 22:00,,,98.9,249.39999,,
03/01/2010 23:00,,,109.4,281.60001,,
04/01/2010 00:00,,,134.2,364.70001,,
04/01/2010 01:00,,,88.5,236.39999,,
04/01/2010 02:00,,,68,165,,
04/01/2010 03:00,,,75.9,200.7,,
04/01/2010 04:00,,,73.6,226,,
04/01/2010 05:00,,,121.7,427.70001,,
04/01/2010 06:00,,,211.7,838.20001,,
04/01/2010 07:00,,,320.39999,1094,,
04/01/2010 08:00,,,337.70001,1232.5,,
04/01/2010 09:00,,,331.60001,1121.80005,,
04/01/2010 10:00,,,417.5,1341.69995,,
04/01/2010 11:00,,,411.60001,1398,,
04/01/2010 12:00,,,488.39999,1372.40002,,
04/01/2010 13:00,,,402,1387.69995,,
04/01/2010 14:00,,,400.29999,1278.40002,,
04/01/2010 15:00,,,458.60001,1432.09998,,
04/01/2010 16:00,,,366.89999,1215.90002,,
04/01/2010 17:00,,,424,1392,,
04/01/2010 18:00,,,363.79999,1171.90002,,
04/01/2010 19:00,,,284.5,904.20001,,
04/01/2010 20:00,,,239.3,779.59998,,
04/01/2010 21:00,,,175.39999,621.09998,,
04/01/2010 22:00,,,160.8,545.40002,,
04/01/2010 23:00,,,146.5,468.79999,,
05/01/2010 00:00,,,136.3,410.5,,
05/01/2010 01:00,,,104.6,329.79999,,
05/01/2010 02:00,,,81.5,227.5,,
05/01/2010 03:00,,,70.9,209.39999,,
05/01/2010 04:00,,,72.9,189.89999,,
05/01/2010 05:00,,,113.1,341.89999,,
05/01/2010 06:00,,,177.5,653.90002,,
05/01/2010 07:00,,,341.70001,1206.40002,,
05/01/2010 08:00,,,311.70001,1074,,
05/01/2010 09:00,,,308.10001,901.79999,,
05/01/2010 10:00,,,353.79999,1179.5,,
05/01/2010 11:00,,,412.5,1181.19995,,
05/01/2010 12:00,,,361.29999,990.40002,,
05/01/2010 13:00,,,366.20001,1069.59998,,
05/01/2010 14:00,,,318.29999,951,,
05/01/2010 15:00,,,177,542,,
05/01/2010 16:00,,,137.39999,369.39999,,
05/01/2010 17:00,,,110.6,307.5,,
05/01/2010 18:00,,,101,228.7,,
05/01/2010 19:00,,,137,333.5,,
05/01/2010 20:00,,,140.60001,352,,
05/01/2010 21:00,,,85.9,162.10001,,
05/01/2010 22:00,,,64.2,101.9,,
05/01/2010 23:00,,,65.2,111.4,,
06/01/2010 00:00,,,64.1,102.6,,
06/01/2010 01:00,,,54.8,91.3,,
06/01/2010 02:00,,,45.1,68.5,,
06/01/2010 03:00,,,44.3,62.3,,
06/01/2010 04:00,,,48.8,73.9,,
06/01/2010 05:00,,,47.4,71,,
06/01/2010 06:00,,,56.6,100.3,,
06/01/2010 07:00,,,96.8,225.2,,
